38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman Sayuran,,,,,,,,,,,,,,,,,,,,,,,,
,Bawang Merah (Ton),Bawang Putih (Ton),Bawang Daun (Ton),Kentang (Ton),Kubis (Ton),Kembang Kol (Ton),Petsai/Sawi (Ton),Wortel (Ton),Lobak (Ton),Kacang Merah (Ton),Kacang Panjang (Ton),Cabai Besar (Ton),Cabai Rawit (Ton),Tomat (Ton),Terung (Ton),Buncis (Ton),Ketimun (Ton),Labu Siam (Ton),Kangkung (Ton),Bayam (Ton),Melinjo (Ton),Paprika (Ton),Jamur (Kg),Petai (Ton),Jengkol (Ton)
,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
ACEH,13673,20,1193,9109,8592,417,3055,191,-,-,12800,97915,72920,14431,10538,625,14864,2591,7125,4275,31782,1,10,2273,7982
SUMATERA UTARA,65585,15,17669,139172,228099,57384,77970,145810,-,-,31682,217917,86880,203868,68593,48328,28573,16330,25017,16895,3701,4,62,25960,9963
SUMATERA BARAT,233917,588,62073,31602,176081,10296,23403,24951,-,-,14833,127451,25081,100429,97698,41404,18801,22783,9696,6570,3659,-,57,18904,21295
RIAU,323,-,17,-,-,5,3062,-,-,-,8213,9879,6607,228,7368,26,14149,100,13464,10094,1118,2,209,2762,4753
JAMBI,18401,527,9422,186038,87286,2949,22733,15163,-,-,7941,157856,16087,40593,21942,6647,5636,11043,6289,5734,2800,8,128,3048,8077
SUMATERA SELATAN,1197,50,3022,1424,4920,798,4093,1943,-,-,6849,15270,7766,8781,12364,2949,9485,2721,5752,3043,1419,1,1315,5591,8207
BENGKULU,671,15,16360,3291,68428,11828,33101,36213,-,-,8211,55876,22546,36731,78413,29093,17272,13278,2798,554,402,4,1052,2532,5768
LAMPUNG,2193,1,3742,183,7828,482,11404,7426,-,-,13366,29018,14070,20678,20441,5594,11527,4421,13190,7605,13889,21,1862,20375,18836
KEP. BANGKA BELITUNG,176,-,500,-,-,-,1359,-,-,-,3487,7270,5508,2039,4255,1127,5968,2,1741,1133,287,-,12,794,764
KEP. RIAU,17,-,211,-,-,-,2535,-,-,-,2808,3429,1245,103,547,163,2953,-,4007,3268,88,-,58,795,927
DKI JAKARTA,-,-,-,-,10,11,1951,-,-,-,-,-,1,-,16,-,-,116,4155,2639,237,-,-,18,-
JAWA BARAT,179355,208,163136,226420,211440,30968,155108,103972,-,-,66575,324968,163989,268073,98100,78435,125170,133920,63200,33062,28142,4660,35888,100801,19763
JAWA TENGAH,479091,29047,125942,248700,188799,32629,108218,149103,-,-,21906,236921,249208,96537,60500,31596,28017,106741,30145,11785,52071,23,9400,126226,16794
DI YOGYAKARTA,32953,-,244,-,35,165,4672,-,-,-,2426,46622,21384,1104,3697,248,1622,78,5754,3186,25641,-,699,8173,154
JAWA TIMUR,484669,1053,121421,278804,202577,18918,75299,77190,-,-,30074,114653,562816,104092,98756,21886,47564,32350,30540,13587,17081,15422,7260,70611,1066
BANTEN,860,-,270,-,52,30,6820,164,-,-,5558,5130,3227,615,2862,128,7872,48,10508,7797,36016,2,130,16070,9303
BALI,35374,167,818,240,24729,1428,20610,1675,-,-,4678,7083,20523,5218,1659,5098,5568,53496,7447,820,319,258,355,10,-
NUSA TENGGARA BARAT,212618,7057,2330,2201,7633,906,2767,4552,-,-,6712,15945,67963,30573,14371,2838,4181,243,6664,471,648,10,818,193,1
NUSA TENGGARA TIMUR,11409,346,1635,452,2867,739,12628,3003,-,-,5484,3193,9074,11256,12578,4113,4410,19817,14020,5465,74,13,-,327,-
KALIMANTAN BARAT,109,-,833,-,-,37,4036,-,-,-,6536,3083,8278,2775,5739,1228,9043,46,4638,3484,1062,-,1,5300,12899
KALIMANTAN TENGAH,72,-,1381,-,-,45,2478,-,-,-,4005,999,6969,3167,5622,1183,5511,22,2079,1163,1458,1,376,1851,2511
KALIMANTAN SELATAN,483,-,756,-,1,53,963,-,-,-,3878,8763,13255,5079,4874,2111,4010,-,1403,983,718,-,296,3732,2867
KALIMANTAN TIMUR,252,-,676,-,4,162,7086,-,-,-,6747,4830,7470,6929,9420,4402,10593,185,9394,4743,422,-,294,917,1117
KALIMANTAN UTARA,351,-,2011,-,-,-,3004,-,-,-,3105,6629,6371,10010,9439,3038,5231,1368,3938,2057,9,-,138,329,30
SULAWESI UTARA,3153,-,55928,60217,96121,1425,56468,53534,-,-,1816,8027,17978,59235,8266,1714,2185,16148,3896,636,185,-,-,-,-
SULAWESI TENGAH,3228,152,8747,810,27611,775,8652,7087,-,-,2594,9130,21552,13718,8486,1288,2707,1713,2500,1297,97,28,1,222,1748
SULAWESI SELATAN,201421,1,35061,59594,51060,2355,18500,35987,-,-,8433,16512,28418,64804,11731,4755,8717,10655,9573,4456,46,6,392,2036,1853
SULAWESI TENGGARA,491,-,570,1,255,15,1604,-,-,-,3667,3449,4529,4355,4649,621,2373,649,3980,2632,251,-,14,926,409
